titulo,tipo,data_publicacao,fonte,link
Publicação Preliminar - 2022 - Maio - Governança Orçamentária no Brasil - O crescente protagonismo do Tribunal de Contas da União na Governança Orçamentária na década de 2010,Publicação Preliminar,25/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39275
Publicação Preliminar - 2022 - Maio - Governança Orçamentária no Brasil - Orçamento sem cidadania: Impedimentos à participação e controle social no Brasil,Publicação Preliminar,25/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39274
Publicação Preliminar - 2022 - Maio - Caminhos do desmonte de políticas no Brasil: Condicionantes e hipóteses,Publicação Preliminar,24/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39272
Nota Técnica - 2022 - Maio - Número 03 - Dides - Por dentro da caixa preta: Explorando as peculiaridades das emendas parlamentares do Relator-Geral,Notas Técnicas,24/05/2022,Dides,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39268
Nota Técnica - 2022 - Maio - Número 28 - Dirur - Reformando o setor elétrico brasileiro: Uma aproximação com os países da OCDE,Notas Técnicas,24/05/2022,Dirur,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39265
Policy Brief - Em Questão - Evidências para políticas públicas - INCLUA - Plataforma de recursos Pró-Equidade em políticas públicas,Boletim - Em Questão,23/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39264
"Boletim Regional, Urbano e Ambiental nº 26, Julho/Dez de 2021",Boletim Regional,20/05/2022,Dirur,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39259
DP 268 - The Platformization of Science: Lattes Platform at a Crossroads?,Discussion Paper (Todos anos),20/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39254
"Publicação Preliminar - 2022 - Maio - Análise preliminar da seleção de propostas do Programa de Regularização Fundiária e Melhoria Habitacional, integrante do Programa Casa Verde e Amarela",Publicação Preliminar,19/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39251
"TD 2767 - Impactos da expansão do metrô de Fortaleza sobre o acesso a oportunidades de emprego, saúde e educação",TDs (todos os anos),18/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39248
"Boletim de Economia e Política Internacional nº 32, Janeiro / Abril 2022",Boletim Internacional,17/05/2022,Dinte,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39243
"Publicação Preliminar - 2022 - Maio - Análise ""ex ante"" de políticas públicas: fundamentos teórico-conceituais e orientações metodológicas para a sua aplicação prática",Publicação Preliminar,16/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39242
TD 2766 - Flexibilidade entre plantio e arrendamento rural no Brasil,TDs (todos os anos),13/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39233
Nota Técnica - 2022 - Maio - Número 101 - Disoc - Gasto social com crianças e adolescentes: Descrição metodológica,Notas Técnicas,10/05/2022,Disoc,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39227
Carta de Conjuntura - 2022 - 1º Trimestre - nº 54,Carta de Conjuntura,09/05/2022,Dimac,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39222
"TD 2765 - Expansão da produção agrícola, novas tecnologias de produção, aumento de produtividade e o desnível tecnológico no meio rural",TDs (todos os anos),06/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39219
"Nota Técnica - 2022 - Maio - Número 52 - Dinte - A Nova Rota da Seda e a Projeção Econômica Internacional da China: Redes de Financiamento, Fluxos de Investimento Externo Direto (IED) e Contratos de Construção",Notas Técnicas,06/05/2022,Dinte,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39218
TD 2758 - Suporte Agrícola a Partir de Dados da Organização Para a Cooperação e o Desenvolvimento Econômico (OCDE): Duas Décadas Sob Análise,TDs (todos os anos),05/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39214
Boletim Mercado de Trabalho - Conjuntura e Análise nº 73,Mercado de Trabalho,05/05/2022,Disoc,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39212
Universidade e Território - Ensino superior e desenvolvimento regional no Brasil do século XXI,Livros (todos os anos),03/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39207
"Publicação Preliminar - 2022 - Maio - Políticas públicas, governança orçamentária e o setor paraestatal",Publicação Preliminar,03/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39206
Publicação Preliminar - 2022 - Maio - Mudanças recentes na governança orçamentária federal: Um novo regime a partir da EC 95?,Publicação Preliminar,03/05/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39205
Policy Brief - Em Questão - Evidências para políticas públicas - Os governos estaduais na gestão das políticas sociais,Boletim - Em Questão,29/04/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39193
TD 2761 - Brasil - Venezuela: Evolução das relações bilaterais e implicações da crise venezuelana para a inserção regional brasileira (1999 - 2021),TDs (todos os anos),28/04/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39188
TD 2763 - Contribuições do programa de aquisição de alimentos para a segurança alimentar e nutricional no Brasil,TDs (todos os anos),28/04/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39187
TD 2762 - Descentralização Federativa e Desafios de Implementação do Programa Nacional de Alimentação Escolar: Uma análise Pós-Lei nº 11.947/2009,TDs (todos os anos),26/04/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39173
DP 267 - Dynamic Capabilities of the Public Sector: Towards a New Synthesis,Discussion Paper (Todos anos),25/04/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39169
