,Data de Criação,Título,Autor,PDF Links,Nota Técnica,Link
11,09/06/2022 10:29,"Agriculture and Livestock, Energy and the Forest-Sparing Effect: an International Comparison",,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220609_tn_dirur_n1.pdf,Technical Note - 2022 - June - Number 01 - Dirur,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39328
12,09/06/2022 10:19,"Agricultura e Pecuária, Energia e o Efeito Poupa-Florestas: Um Comparativo Internacional",Autor: José Eustáquio Ribeiro Vieira Filho,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220609_218835_nt_dirur30__web_novo.pdf,Nota Técnica - 2022 - Junho - Número 30 - Dirur,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39327
13,06/06/2022 17:58,A conta de estabilização de peços de combustíveis e a disponibilidade de recursos à sua estruturação: O projeto de Lei nº 1.472/2021 em discussão,Autor: Camillo de Moraes Bassi,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220606_218549_nt_dides04_web.pdf,Nota Técnica - 2022 - Junho - Número 04 - Dides,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39320
14,06/06/2022 14:27,Indicadores de produtividade e sustentabilidade do setor agropecuário brasileiro,Autor: José Eustáquio Ribeiro Vieira Filho,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220606_218402_nt_dirur29_web.pdf,Nota Técnica - 2022 - Junho - Número 29 - Dirur,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39319
15,06/06/2022 13:05,Remuneração dos depósitos voluntários e seus efeitos sobre a dívida pública: quando o conceito faz (toda) diferença,Autor: Camillo de Moraes Bassi,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220606_218307_nt_dides05_web.pdf,Nota Técnica - 2022 - Junho - Número 05 - Dides,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39318
16,24/05/2022 16:21,Por dentro da caixa preta: Explorando as peculiaridades das emendas parlamentares do Relator-Geral,Autor: Camillo de Moraes Bassi,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220524_218179_nt_dides_%2003_web_novo.pdf,Nota Técnica - 2022 - Maio - Número 03 - Dides,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39268
17,24/05/2022 08:00,Reformando o setor elétrico brasileiro: Uma aproximação com os países da OCDE,Autor: Maria Bernadete G. P. Sarmiento Gutierrez,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220523_218555_nt_dirur_28_web.pdf,Nota Técnica - 2022 - Maio - Número 28 - Dirur,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39265
18,10/05/2022 17:09,Gasto social com crianças e adolescentes: Descrição metodológica,"Autores (as): Enid Rocha Andrade da Silva, José Aparecido Carlos Ribeiro, Valéria Rezende de Oliveira, Liliana Chopitea Zaconeta, Santiago Falluh Varella e Denise Cristina Correa Rocha",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220510_62_nt_disoc_101_web.pdf,Nota Técnica - 2022 - Maio - Número 101 - Disoc,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39227
19,06/05/2022 17:03,"A Nova Rota da Seda e a Projeção Econômica Internacional da China: Redes de Financiamento, Fluxos de Investimento Externo Direto (IED) e Contratos de Construção","Autores (as): Marco Aurélio Alves de Mendonça, Carlos Renato da Fonseca Ungaretti Lopes Filho e Juliana Kelly Barbosa da Silva Oliveira",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220506_217010_nt_dinte_52_web.pdf,Nota Técnica - 2022 - Maio - Número 52 - Dinte,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39218
20,20/04/2022 18:05,Normalização Técnica : Dinâmica da economia agrícola da China e de suas províncias e regiões,Autor: João Vitor Borges da Silva,http://repositorio.ipea.gov.br/bitstream/11058/10957/2/NT_51_Dinte_Dinamica_Econom_Agricola.pdf,Nota Técnica - 2022 - Abril - Número 51 - Dinte,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39163
21,12/04/2022 10:52,"Author(s): Renato Baumann, Gilberto Libanio, Mário Joplin, Hugo Lasco, Scarlet Queen, Marcelo Nonnenberg, Zhou Mi, Xu Man, Tang Jie, Kou Chunhe and Li Wei.",,http://repositorio.ipea.gov.br/bitstream/11058/11119/1/NT_08_Dinte_ResearchforInvestment.pdf,Technical Note - 2022 - Abril - Number 08- Dinte,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39133
22,11/04/2022 14:04,Normalização Técnica : O Modelo Chinês,Autor: Luís Fernando Tironi,http://repositorio.ipea.gov.br/bitstream/11058/10959/2/NT_50_Dinte_NormalizacaoTecnica.pdf,Nota Técnica - 2022 - Abril - Número 50 - Dinte,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39130
23,08/04/2022 17:31,Participar em cadeia global  de valor é objetivo de política?,Autor: Renato Baumann,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220408_nt_dinte_47_web.pdf,Nota Técnica - 2022 - Março - Número 47 - Dinte,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39121
24,01/04/2022 17:16,"Acessão à OCDE: Experiências recentes e seus efeitos sobre investimento, comércio e crescimento econômico",Autor: Ignácio Tavares de Araújo Júnior,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220401_nt_dinte_49_web.pdf,Nota Técnica - 2022 - Abril - Número 49 - Dinte,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39108
