,Data de Criação,Título do Livro,Categoria,Organizadores,Link do PDF
58,11/07/2019 08:51,,"ODS 14: Conservação e Uso Sustentável dos Oceanos, dos Mares e dos Recursos Marinhos para o Desenvolvimento Sustentável",,/portal/images/stories/PDFs/livros/livros/190711_cadernos_ODS_objetivo_14.pdf
59,11/07/2019 08:48,"Assegurar a Educação Inclusiva e Equitativa e de Qualidade, e Promover Oportunidades de Aprendizagem ao Longo da Vida para Todas e Todos",ODS 4,,/portal/images/stories/PDFs/livros/livros/190711_cadernos_ODS_objetivo_4.pdf
60,03/07/2019 16:41,,Financiamentos com pagamentos vinculados à renda futura,,/portal/images/stories/PDFs/livros/livros/190703_financiamentos_com_pagamentos_vinculados.pdf
61,26/06/2019 00:00,"2ª edição, revista e ampliada",Um Pirilampo no Porão: um pouco de luz nos dilemas da produtividade das pequenas empresas e da informalidade no Brasil,,/portal/images/stories/PDFs/livros/livros/190626_um_pirilampo_no_porao_edicao_2.pdf
62,25/06/2019 18:33,Fome Zero e Agricultura Sustentável,ODS 2,,/portal/images/stories/PDFs/livros/livros/190625_cadernos_ODS_objetivo_2.pdf
63,12/06/2019 17:37,"Tornar as Cidades e os Assentamentos Humanos Inclusivos, Seguros, Resilientes e Sustentáveis",ODS 11,,/portal/images/stories/PDFs/livros/livros/190612_cadernos_ODS_objetivo_11.pdf
64,10/06/2019 08:10,,,,/portal/images/stories/PDFs/livros/livros/190530_livro_inovacao_e_politicas_publicas.pdf
65,10/06/2019 08:10,,Inovação e Políticas Públicas: superando o mito da ideia,,/portal/images/stories/PDFs/livros/livros/190530_livro_inovacao_e_politicas_publicas.pdf
66,30/05/2019 14:26,"Acabar com a Pobreza em Todas as suas Formas, em Todos os Lugares",ODS 1,,/portal/images/stories/PDFs/livros/livros/190524_cadernos_ODS_objetivo_1.pdf
67,30/05/2019 14:25,Assegurar a Disponibilidade e Gestão Sustentável da Água e Saneamento para Todas e Todos,ODS 6,,/portal/images/stories/PDFs/livros/livros/190524_cadernos_ODS_objetivo_6.pdf
68,30/05/2019 14:23,"Assegurar o Acesso Confiável, Sustentável, Moderno e a Preço Acessível à Energia Para Todos",ODS 7,,/portal/images/stories/PDFs/livros/livros/190502_cadernos_ODS_objetivo_7.pdf
69,30/05/2019 14:22,"Construir Infraestruturas Resilientes, Promover a Industrialização Inclusiva e Sustentável, e Fomentar a Inovação",ODS 9,,/portal/images/stories/PDFs/livros/livros/190524_cadernos_ODS_objetivo_9.pdf
70,30/05/2019 14:19,Reduzir a Desigualdade Dentro dos Países e Entre Eles,ODS 10,,/portal/images/stories/PDFs/livros/livros/190524_cadernos_ODS_objetivo_10.pdf
71,21/05/2019 15:10,,Implementando Desigualdades: Reprodução de Desigualdades na Implementação de Políticas Públicas,,/portal/images/stories/PDFs/livros/livros/190612_implementando_desigualdades.pdf
72,16/04/2019 12:01,,Radar IDHM: evolução do IDHM e de seus índices componentes no período de 2012 a 2017,,/portal/images/stories/PDFs/livros/livros/190416_rada_IDHM.pdf
73,08/04/2019 14:39,,"Política Metropolitana: governança, instrumentos e planejamento metropolitanos",,/portal/images/stories/PDFs/livros/livros/190408_capa_livro_politica_metropolitana_governanca.pdf
74,08/03/2019 17:05,,O Presidente e seu núcleo de governo: a coordenação do Poder Executivo,,/portal/images/stories/PDFs/livros/livros/190308_o_presidente_e_seu_nucleo_de_governo.pdf
75,12/02/2019 17:00,,"Participação como método de governo: experiências transcalares no Rio Grande do Sul, Brasil e na Toscana, Itália",,/portal/images/stories/PDFs/livros/livros/190212_participacao_como_metodo_de_governo.pdf
76,29/01/2019 17:54,,30 Years of the Brazilian Federal Constitution: perspectives for Brazilian federalism,,/portal/images/stories/PDFs/livros/livros/190129_30_years_of_the_brazilian_federal_constitution.pdf
77,16/01/2019 14:12,,Encomendas tecnológicas no Brasil: guia geral de boas práticas,,/portal/images/stories/PDFs/livros/livros/190116_encomendas_tecnologicas.pdf
78,14/01/2019 09:02,,Discutindo a Política Urbana no Brasil – registros do Seminário Internacional sobre Política Urbana: 15 Anos de Estatuto da Cidade e o Brasil na Nova Agenda Urbana (Habitat III),,/portal/images/stories/PDFs/livros/livros/190114_livro_discutindo_a_politica_urbana_no_brasil.pdf
79,03/01/2019 12:13,,Comunidades terapêuticas: temas para reflexão,,/portal/images/stories/PDFs/livros/livros/190103_comunidades_terapeuticas.pdf
80,02/01/2019 14:20,,Legado do MDL: impactos e lições aprendidas a partir da implementação do Mecanismo de Desenvolvimento Limpo no Brasil,,/portal/images/stories/PDFs/livros/livros/181228_livro_mdl.pdf
81,31/12/2018 09:32,ODS – Metas Nacionais dos Objetivos de Desenvolvimento Sustentável,AGENDA 2030,,/portal/images/stories/PDFs/livros/livros/180801_ods_metas_nac_dos_obj_de_desenv_susten_propos_de_adequa.pdf
82,20/12/2018 07:17,,Estratégias de superação da pobreza no Brasil recente e impacto sobre o meio rural,,/portal/images/stories/PDFs/livros/livros/181220_livro_estrategias_de_superacao.pdf
83,19/12/2018 13:30,2016,Cooperação Brasileira para o Desenvolvimento Internacional: 2014,,/portal/images/stories/PDFs/livros/livros/181219_cobradi_2014-2016.pdf
84,18/12/2018 18:24,,"Avaliação de Políticas Públicas: Guia prático de análise ex post, Volume 2","Brasília, 2018",/portal/images/stories/PDFs/livros/livros/181218_avaliacao_de_politicas_publicas_vol2_guia_expost.pdf
85,18/12/2018 14:12,Volume 2,Desafios da Nação,,/portal/images/stories/PDFs/livros/livros/181218_desafios_da_nacao_vol2.pdf
86,06/12/2018 12:30,crise de 2008,Política externa brasileira em debate: dimensões e estratégias de inserção internacional no pós,,/portal/images/stories/PDFs/livros/livros/181206_a_politica_externa_brasileira.pdf
