,Data de Criação,Categoria,Organizadores,Link do PDF,Título do Livro,Link
65,10/06/2019 08:10,Inovação e Políticas Públicas: superando o mito da ideia,,/portal/images/stories/PDFs/livros/livros/190530_livro_inovacao_e_politicas_publicas.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34783
66,30/05/2019 14:26,ODS 1,,/portal/images/stories/PDFs/livros/livros/190524_cadernos_ODS_objetivo_1.pdf,"Acabar com a Pobreza em Todas as suas Formas, em Todos os Lugares",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34775
67,30/05/2019 14:25,ODS 6,,/portal/images/stories/PDFs/livros/livros/190524_cadernos_ODS_objetivo_6.pdf,Assegurar a Disponibilidade e Gestão Sustentável da Água e Saneamento para Todas e Todos,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34774
68,30/05/2019 14:23,ODS 7,,/portal/images/stories/PDFs/livros/livros/190502_cadernos_ODS_objetivo_7.pdf,"Assegurar o Acesso Confiável, Sustentável, Moderno e a Preço Acessível à Energia Para Todos",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34773
69,30/05/2019 14:22,ODS 9,,/portal/images/stories/PDFs/livros/livros/190524_cadernos_ODS_objetivo_9.pdf,"Construir Infraestruturas Resilientes, Promover a Industrialização Inclusiva e Sustentável, e Fomentar a Inovação",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34772
70,30/05/2019 14:19,ODS 10,,/portal/images/stories/PDFs/livros/livros/190524_cadernos_ODS_objetivo_10.pdf,Reduzir a Desigualdade Dentro dos Países e Entre Eles,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34771
71,21/05/2019 15:10,Implementando Desigualdades: Reprodução de Desigualdades na Implementação de Políticas Públicas,,/portal/images/stories/PDFs/livros/livros/190612_implementando_desigualdades.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34743
72,16/04/2019 12:01,Radar IDHM: evolução do IDHM e de seus índices componentes no período de 2012 a 2017,,/portal/images/stories/PDFs/livros/livros/190416_rada_IDHM.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34682
73,08/04/2019 14:39,"Política Metropolitana: governança, instrumentos e planejamento metropolitanos",,/portal/images/stories/PDFs/livros/livros/190408_capa_livro_politica_metropolitana_governanca.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34667
74,08/03/2019 17:05,O Presidente e seu núcleo de governo: a coordenação do Poder Executivo,,/portal/images/stories/PDFs/livros/livros/190308_o_presidente_e_seu_nucleo_de_governo.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34620
75,12/02/2019 17:00,"Participação como método de governo: experiências transcalares no Rio Grande do Sul, Brasil e na Toscana, Itália",,/portal/images/stories/PDFs/livros/livros/190212_participacao_como_metodo_de_governo.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34583
76,29/01/2019 17:54,30 Years of the Brazilian Federal Constitution: perspectives for Brazilian federalism,,/portal/images/stories/PDFs/livros/livros/190129_30_years_of_the_brazilian_federal_constitution.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34568
77,16/01/2019 14:12,Encomendas tecnológicas no Brasil: guia geral de boas práticas,,/portal/images/stories/PDFs/livros/livros/190116_encomendas_tecnologicas.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34554
78,14/01/2019 09:02,Discutindo a Política Urbana no Brasil – registros do Seminário Internacional sobre Política Urbana: 15 Anos de Estatuto da Cidade e o Brasil na Nova Agenda Urbana (Habitat III),,/portal/images/stories/PDFs/livros/livros/190114_livro_discutindo_a_politica_urbana_no_brasil.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34542
79,03/01/2019 12:13,Comunidades terapêuticas: temas para reflexão,,/portal/images/stories/PDFs/livros/livros/190103_comunidades_terapeuticas.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34533
80,02/01/2019 14:20,Legado do MDL: impactos e lições aprendidas a partir da implementação do Mecanismo de Desenvolvimento Limpo no Brasil,,/portal/images/stories/PDFs/livros/livros/181228_livro_mdl.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34532
81,31/12/2018 09:32,AGENDA 2030,,/portal/images/stories/PDFs/livros/livros/180801_ods_metas_nac_dos_obj_de_desenv_susten_propos_de_adequa.pdf,ODS – Metas Nacionais dos Objetivos de Desenvolvimento Sustentável,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=33895
82,20/12/2018 07:17,Estratégias de superação da pobreza no Brasil recente e impacto sobre o meio rural,,/portal/images/stories/PDFs/livros/livros/181220_livro_estrategias_de_superacao.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34512
83,19/12/2018 13:30,Cooperação Brasileira para o Desenvolvimento Internacional: 2014,,/portal/images/stories/PDFs/livros/livros/181219_cobradi_2014-2016.pdf,2016,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34507
84,18/12/2018 18:24,"Avaliação de Políticas Públicas: Guia prático de análise ex post, Volume 2","Brasília, 2018",/portal/images/stories/PDFs/livros/livros/181218_avaliacao_de_politicas_publicas_vol2_guia_expost.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34504
85,18/12/2018 14:12,Desafios da Nação,,/portal/images/stories/PDFs/livros/livros/181218_desafios_da_nacao_vol2.pdf,Volume 2,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34502
86,06/12/2018 12:30,Política externa brasileira em debate: dimensões e estratégias de inserção internacional no pós,,/portal/images/stories/PDFs/livros/livros/181206_a_politica_externa_brasileira.pdf,crise de 2008,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34472
87,27/11/2018 18:11,CMAP 2016 a 2018: Estudos e Propostas do Comitê de Monitoramento e Avaliação de Políticas Públicas Federais,,/portal/images/stories/PDFs/livros/livros/181127_comite_de_monitoramento.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34443
88,27/11/2018 17:49,Avaliação de Desempenho do Brasil Mais Produtivo,,/portal/images/stories/PDFs/livros/livros/181127_avaliacao_do_desempenho.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34442
89,27/11/2018 17:13,Fronteiras do Brasil: uma avaliação de política pública,,/portal/images/stories/PDFs/livros/livros/181112_livro_fronteira_do_brasil_uma_avaliacao_de_politica_publica.pdf,Volume 1,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34441
90,12/11/2018 11:25,Políticas públicas: avaliando mais de meio trilhão de reais em gastos públicos,,/portal/images/stories/PDFs/livros/livros/181009_politicas_publicas_no_brasil.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34343
91,05/11/2018 10:08,Financiamento do desenvolvimento no Brasil,,/portal/images/stories/PDFs/livros/livros/181105_livro_financiamento_desenvolvimento.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34375
92,05/07/2018 13:29,Governança da política de infraestrutura : condicionantes institucionais ao investimento,,/portal/images/stories/PDFs/livros/livros/180705_livro_gover_politica_infra_condic_inst_invest.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=33721
93,05/07/2018 11:32,Burocracia e políticas públicas no Brasil : interseções analíticas,,/portal/images/stories/PDFs/livros/livros/180705_livro_burocracia_e_politicas_publicas_no_brasil.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=33720
94,22/06/2018 16:26,Fronteiras do Brasil: uma avaliação do arco Norte,,/portal/images/stories/PDFs/livros/livros/180622_fronteiras_do_brasil_volume3.pdf,Volume 3,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=33583
95,15/06/2018 15:28,Novos caminhos para a inovação no Brasil,,/portal/images/stories/PDFs/livros/livros/180615_novos_caminhos_para_a_inovacao_no_brasil.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=33511
96,07/06/2018 09:12,Perfil das organizações da sociedade civil no Brasil,,/portal/images/stories/PDFs/livros/livros/180607_livro_perfil_das_organizacoes_da_sociedade_civil_no_brasil.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=33432
97,29/05/2018 17:36,A nova agenda urbana e o Brasil: insumos para sua construção e desafios a sua implementação,,/portal/images/stories/PDFs/livros/livros/180529_a_nova_agenda_urbana_e_o_brasil.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=33345
98,08/05/2018 13:56,Reforma tributária,,/portal/images/stories/PDFs/livros/livros/180508_reforma_tributaria.pdf,Ipea-OAB/DF,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=33172
